'Datetime','N','P','Z','D'
1.262297711000000000e+09,2.649808115754997279e-02,5.785727376567180169e-01,1.955054336525387404e+00,1.439874844660346209e+00
1.262297712000000000e+09,2.666397606625681496e-02,5.493163653430060966e-01,1.947811702838111003e+00,1.476207955752627976e+00
1.262297713000000000e+09,2.725868170522380285e-02,5.222104200488328907e-01,1.939418950545747311e+00,1.511111947700197744e+00
1.262297714000000000e+09,2.829169333031465033e-02,4.971153809431174686e-01,1.930030440599325159e+00,1.544562485127244367e+00
1.262297715000000000e+09,2.977997028893075368e-02,4.739129856959737874e-01,1.919780101235033065e+00,1.576526942780064111e+00
1.262297716000000000e+09,3.176140249010504790e-02,4.524932414249777657e-01,1.908786262116039856e+00,1.606959093968878927e+00
1.262297717000000000e+09,3.429803070674808385e-02,4.327617642108583795e-01,1.897156545142940631e+00,1.635783659939454626e+00
1.262297718000000000e+09,3.747604657564800740e-02,4.146397790974974962e-01,1.884987864453756989e+00,1.662896309873099332e+00
1.262297719000000000e+09,4.140579259747058372e-02,3.980641200919301514e-01,1.872366426423937025e+00,1.688163660886664141e+00
1.262297720000000000e+09,4.622176213675917300e-02,3.829872301643443278e-01,1.859367729666355329e+00,1.711423278032543127e+00
1.262297721000000000e+09,5.206626966175606497e-02,3.693763185453483588e-01,1.846057446584595363e+00,1.732499965208301962e+00
1.262297722000000000e+09,5.888262953837924280e-02,3.571988945114916159e-01,1.832505496927698818e+00,1.751412979022432204e+00
1.262297723000000000e+09,6.704810287677524794e-02,3.464563734598405942e-01,1.818760376000117640e+00,1.767735147663268336e+00
1.262297724000000000e+09,7.708775256499059148e-02,3.371851269973148435e-01,1.804863914344972731e+00,1.780863206092723416e+00
1.262297725000000000e+09,8.950954124646698373e-02,3.294499571127018633e-01,1.790859644048657273e+00,1.790180857592175601e+00
1.262297726000000000e+09,1.048043313200413273e-01,3.233440961766574917e-01,1.776792798740834955e+00,1.795058773762467919e+00
1.262297727000000000e+09,1.234458849399456409e-01,3.189892069417054055e-01,1.762710313594442191e+00,1.794854594523908498e+00
1.262297728000000000e+09,1.458908640158072534e-01,3.165353825422375644e-01,1.748660825325686341e+00,1.788912928116270562e+00
1.262297729000000000e+09,1.725788302126485263e-01,3.161611464945138783e-01,1.734694672194046383e+00,1.776565351098792878e+00
1.262297730000000000e+09,2.039322449508871316e-01,3.180734526966624842e-01,1.720863894002273575e+00,1.757130408350178641e+00
1.262297731000000000e+09,2.403564694063358709e-01,3.225076854286793582e-01,1.707222232096389902e+00,1.729913613068596590e+00
1.262297732000000000e+09,2.822397645102026620e-01,3.297276593524287591e-01,1.693825129365689852e+00,1.694207446771680337e+00
1.262297733000000000e+09,3.299532909490908716e-01,3.400256195116430624e-01,1.680729730242738862e+00,1.649291359296529036e+00
1.262297734000000000e+09,3.838766362752722983e-01,3.537057486022169295e-01,1.668008669507155650e+00,1.594408945615356954e+00
1.262297735000000000e+09,4.438497126011997085e-01,3.710006882328683031e-01,1.655860141428164178e+00,1.529289457737769586e+00
1.262297736000000000e+09,5.077544785520942128e-01,3.924295014860958442e-01,1.644320690161050091e+00,1.455495329800761573e+00
1.262297737000000000e+09,5.731339746708508098e-01,4.184730142224040161e-01,1.633426615401163629e+00,1.374966395705583322e+00
1.262297738000000000e+09,6.374820880554716851e-01,4.494856528349304714e-01,1.623275455115135379e+00,1.289756803994464462e+00
